Designator,Mid X,Mid Y,Layer,Rotation
A1,139.700000mm,-33.655000mm,Top,0
C1,135.535466mm,-45.361460mm,Top,270
C2,167.209191mm,-47.248763mm,Top,90
C3,152.298400mm,-38.303200mm,Top,270
C4,142.182893mm,-69.102923mm,Top,90
C5,151.686054mm,-68.327051mm,Top,270
C6,167.436800mm,-53.251400mm,Top,270
C8,167.233600mm,-67.614800mm,Top,270
C9,151.180800mm,-84.277200mm,Top,180
C10,167.284400mm,-70.903800mm,Top,270
C11,142.196461mm,-65.582928mm,Top,90
C12,151.941800mm,-55.077400mm,Top,270
C13,142.569200mm,-55.102800mm,Top,270
C14,147.573000mm,-47.396400mm,Top,180
C15,151.942800mm,-36.068000mm,Top,180
C16,167.182800mm,-43.789600mm,Top,270
C17,151.657966mm,-64.907618mm,Top,90
C18,144.259000mm,-74.777600mm,Top,180
C19,146.575131mm,-33.766407mm,Top,180
C20,151.240038mm,-33.731200mm,Top,0
C21,142.646400mm,-34.493200mm,Top,90
C22,151.002400mm,-74.574400mm,Top,0
C23,142.392400mm,-79.857600mm,Top,270
C24,148.870146mm,-61.732196mm,Top,90
C25,145.948400mm,-84.175600mm,Top,180
C26,143.862891mm,-80.143584mm,Top,270
C27,150.568491mm,-79.761984mm,Top,90
C28,151.749891mm,-82.060984mm,Top,180
C70,146.169850mm,-62.601248mm,Top,180
C71,150.825200mm,-70.764400mm,Top,0
D1,145.846800mm,-36.779200mm,Top,180
D2,136.154565mm,-54.280665mm,Top,90
D3,136.174012mm,-61.362954mm,Top,270
J1,163.678752mm,-77.233367mm,Top,0
J2,134.575748mm,-84.410898mm,Top,90
J3,166.345752mm,-77.233367mm,Top,0
J4,132.984462mm,-44.492469mm,Top,270
J5,157.480000mm,-43.805000mm,Top,180
J6,132.832544mm,-63.938518mm,Top,180
J7,160.655000mm,-76.835000mm,Top,0
J8,137.160000mm,-71.710898mm,Top,270
J9,162.560000mm,-41.275000mm,Top,0
J10,157.480000mm,-74.295000mm,Top,90
J11,134.620000mm,-81.788000mm,Top,90
J12,134.620000mm,-79.112778mm,Top,90
J13,134.620000mm,-76.572778mm,Top,90
J14,157.480000mm,-71.755000mm,Top,90
J15,131.793500mm,-55.681760mm,Top,270
J16,165.100000mm,-41.275000mm,Top,0
J17,134.620000mm,-74.250898mm,Top,90
J18,154.940000mm,-86.995000mm,Top,270
J19,157.480000mm,-76.835000mm,Top,0
J20,160.020000mm,-43.805000mm,Top,180
J21,144.780000mm,-86.995000mm,Top,270
J23,157.480000mm,-46.355000mm,Top,0
J24,162.542600mm,-46.355000mm,Top,0
J25,134.500654mm,-69.088000mm,Top,90
J26,134.500654mm,-66.548000mm,Top,90
R1,136.144000mm,-49.276000mm,Top,180
R2,136.152898mm,-47.813140mm,Top,180
R3,136.172149mm,-43.098865mm,Top,180
R4,136.157339mm,-41.624870mm,Top,180
R5,148.348200mm,-48.920400mm,Top,0
R6,161.493200mm,-90.995000mm,Top,90
R7,144.789794mm,-71.092216mm,Top,180
R8,146.159867mm,-64.071883mm,Top,180
R9,147.960655mm,-72.613045mm,Top,0
R10,144.908821mm,-72.648336mm,Top,0
R11,160.020000mm,-91.033600mm,Top,90
R12,142.709400mm,-82.550000mm,Top,180
R13,141.986000mm,-84.226400mm,Top,0
R14,136.102868mm,-40.132000mm,Top,180
R15,145.730291mm,-82.670584mm,Top,0
R16,145.336091mm,-80.118384mm,Top,270
R17,152.259800mm,-79.768200mm,Top,270
R18,143.934107mm,-63.577278mm,Top,270
R19,149.146000mm,-64.056675mm,Top,0
R20,148.739691mm,-82.670584mm,Top,180
R21,145.363200mm,-48.869600mm,Top,180
R22,148.752600mm,-57.531000mm,Top,180
R23,145.717800mm,-57.531000mm,Top,0
R24,144.513801mm,-61.120609mm,Top,0
R25,150.337571mm,-61.717303mm,Top,90
R26,145.337800mm,-50.368200mm,Top,0
R27,148.348200mm,-50.393600mm,Top,180
R28,151.808030mm,-61.726600mm,Top,90
R29,142.269628mm,-62.402352mm,Top,90
R30,151.736600mm,-57.531000mm,Top,180
R31,142.733800mm,-57.556400mm,Top,0
R32,150.570200mm,-49.199800mm,Top,90
R33,143.102600mm,-48.894000mm,Top,90
R34,142.189200mm,-72.453000mm,Top,270
R52,151.892000mm,-77.216000mm,Top,0
R53,167.233600mm,-73.901800mm,Top,270
R54,148.972100mm,-36.779200mm,Top,0
R55,151.739600mm,-45.008800mm,Top,90
R56,142.747000mm,-51.905400mm,Top,270
R59,152.043400mm,-51.893200mm,Top,270
R60,152.094200mm,-48.895000mm,Top,90
R61,141.629400mm,-48.907200mm,Top,90
R62,137.294044mm,-33.667378mm,Top,90
R66,147.766328mm,-71.060488mm,Top,180
R67,150.953318mm,-72.610181mm,Top,0
U1,142.138400mm,-39.902200mm,Top,0
U2,147.926891mm,-79.774984mm,Top,0
U3,146.949928mm,-67.558828mm,Top,0
U4,147.472400mm,-74.625200mm,Top,90
U7,147.260600mm,-54.014600mm,Top,0
U10,162.600625mm,-38.190978mm,Top,270
